title,category,brand,color,description,image_path,price,source_url,location_hint,notes,lost_description
AirPods Max,Headphones,Apple,Gold,Premium over-ear wireless headphones with smart case.,data/raw/images/airpods_max.jpg,35,https://example.com/airpods_max,library,slight scratch on side,Lost a gold over-ear audio accessory from Apple. It resembles AirPods Max and was likely misplaced near the library help desk after an evening study session. Distinct note: slight scratch on side.
Classic Leather Wallet,Wallet,Fossil,Brown,Slim leather wallet with card slots and ID window.,data/raw/images/classic_leather_wallet.jpg,57,https://example.com/classic_leather_wallet,canteen,with student ID sticker,Lost a brown compact personal item from Fossil. It resembles Classic Leather Wallet and was likely misplaced outside the canteen during lunch break. Distinct note: with student ID sticker.
Hydro Flask 32oz,Bottle,Hydro Flask,Black,Insulated stainless steel water bottle for daily use.,data/raw/images/hydro_flask_32oz.jpg,79,https://example.com/hydro_flask_32oz,lab,kept in a leather case,Lost a black daily-use drink container from Hydro Flask. It resembles Hydro Flask 32oz and was likely misplaced in the electronics lab after class. Distinct note: kept in a leather case.
Kindle Paperwhite,E-reader,Amazon,Black,Lightweight e-reader with glare-free display.,data/raw/images/kindle_paperwhite.jpg,101,https://example.com/kindle_paperwhite,classroom,has initials on it,Lost a black flat reading device from Amazon. It resembles Kindle Paperwhite and was likely misplaced inside classroom B-204 after a lecture. Distinct note: has initials on it.
Nike Everyday Backpack,Backpack,Nike,Black,Campus backpack with padded shoulder straps and laptop sleeve.,data/raw/images/nike_everyday_backpack.jpg,123,https://example.com/nike_everyday_backpack,bus stop,inside front pocket,Lost a black student carry bag from Nike. It resembles Nike Everyday Backpack and was likely misplaced around the bus parking area before leaving campus. Distinct note: inside front pocket.
Casio Vintage Watch,Watch,Casio,Silver,Retro digital watch with stainless steel band.,data/raw/images/casio_vintage_watch.jpg,145,https://example.com/casio_vintage_watch,auditorium,charger missing,Lost a silver wrist accessory from Casio. It resembles Casio Vintage Watch and was likely misplaced near the auditorium entrance during an event. Distinct note: charger missing.
Logitech MX Master 3S,Mouse,Logitech,Graphite,Ergonomic wireless mouse for productivity.,data/raw/images/logitech_mx_master_3s.jpg,167,https://example.com/logitech_mx_master_3s,library,slight scratch on side,Lost a graphite computer accessory from Logitech. It resembles Logitech MX Master 3S and was likely misplaced near the library help desk after an evening study session. Distinct note: slight scratch on side.
Sony WH-1000XM5,Headphones,Sony,Black,Noise-canceling wireless headphones with carrying case.,data/raw/images/sony_wh_1000xm5.jpg,189,https://example.com/sony_wh_1000xm5,canteen,with student ID sticker,Lost a black over-ear audio accessory from Sony. It resembles Sony WH-1000XM5 and was likely misplaced outside the canteen during lunch break. Distinct note: with student ID sticker.
JBL Flip 6,Speaker,JBL,Blue,Portable Bluetooth speaker with waterproof body.,data/raw/images/jbl_flip_6.jpg,35,https://example.com/jbl_flip_6,lab,kept in a leather case,Lost a blue portable audio device from JBL. It resembles JBL Flip 6 and was likely misplaced in the electronics lab after class. Distinct note: kept in a leather case.
Adidas Duffel Bag,Bag,Adidas,Navy,Medium-size sports duffel with side compartments.,data/raw/images/adidas_duffel_bag.jpg,57,https://example.com/adidas_duffel_bag,classroom,has initials on it,Lost a navy carry bag from Adidas. It resembles Adidas Duffel Bag and was likely misplaced inside classroom B-204 after a lecture. Distinct note: has initials on it.
Parker Metal Pen,Pen,Parker,Silver,Refillable signature pen with smooth grip.,data/raw/images/parker_metal_pen.jpg,79,https://example.com/parker_metal_pen,bus stop,inside front pocket,Lost a silver metal writing instrument from Parker. It resembles Parker Metal Pen and was likely misplaced around the bus parking area before leaving campus. Distinct note: inside front pocket.
Samsung Galaxy Buds 2,Earbuds,Samsung,White,Compact wireless earbuds with charging case.,data/raw/images/samsung_galaxy_buds_2.jpg,101,https://example.com/samsung_galaxy_buds_2,auditorium,charger missing,Lost a white small wireless audio accessory from Samsung. It resembles Samsung Galaxy Buds 2 and was likely misplaced near the auditorium entrance during an event. Distinct note: charger missing.
AirPods Max,Headphones,Apple,Gold,Premium over-ear wireless headphones with smart case.,data/raw/images/airpods_max.jpg,123,https://example.com/airpods_max,library,slight scratch on side,Lost a gold over-ear audio accessory from Apple. It resembles AirPods Max and was likely misplaced near the library help desk after an evening study session. Distinct note: slight scratch on side.
Classic Leather Wallet,Wallet,Fossil,Brown,Slim leather wallet with card slots and ID window.,data/raw/images/classic_leather_wallet.jpg,145,https://example.com/classic_leather_wallet,canteen,with student ID sticker,Lost a brown compact personal item from Fossil. It resembles Classic Leather Wallet and was likely misplaced outside the canteen during lunch break. Distinct note: with student ID sticker.
Hydro Flask 32oz,Bottle,Hydro Flask,Black,Insulated stainless steel water bottle for daily use.,data/raw/images/hydro_flask_32oz.jpg,167,https://example.com/hydro_flask_32oz,lab,kept in a leather case,Lost a black daily-use drink container from Hydro Flask. It resembles Hydro Flask 32oz and was likely misplaced in the electronics lab after class. Distinct note: kept in a leather case.
Kindle Paperwhite,E-reader,Amazon,Black,Lightweight e-reader with glare-free display.,data/raw/images/kindle_paperwhite.jpg,189,https://example.com/kindle_paperwhite,classroom,has initials on it,Lost a black flat reading device from Amazon. It resembles Kindle Paperwhite and was likely misplaced inside classroom B-204 after a lecture. Distinct note: has initials on it.
Nike Everyday Backpack,Backpack,Nike,Black,Campus backpack with padded shoulder straps and laptop sleeve.,data/raw/images/nike_everyday_backpack.jpg,35,https://example.com/nike_everyday_backpack,bus stop,inside front pocket,Lost a black student carry bag from Nike. It resembles Nike Everyday Backpack and was likely misplaced around the bus parking area before leaving campus. Distinct note: inside front pocket.
Casio Vintage Watch,Watch,Casio,Silver,Retro digital watch with stainless steel band.,data/raw/images/casio_vintage_watch.jpg,57,https://example.com/casio_vintage_watch,auditorium,charger missing,Lost a silver wrist accessory from Casio. It resembles Casio Vintage Watch and was likely misplaced near the auditorium entrance during an event. Distinct note: charger missing.
Logitech MX Master 3S,Mouse,Logitech,Graphite,Ergonomic wireless mouse for productivity.,data/raw/images/logitech_mx_master_3s.jpg,79,https://example.com/logitech_mx_master_3s,library,slight scratch on side,Lost a graphite computer accessory from Logitech. It resembles Logitech MX Master 3S and was likely misplaced near the library help desk after an evening study session. Distinct note: slight scratch on side.
Sony WH-1000XM5,Headphones,Sony,Black,Noise-canceling wireless headphones with carrying case.,data/raw/images/sony_wh_1000xm5.jpg,101,https://example.com/sony_wh_1000xm5,canteen,with student ID sticker,Lost a black over-ear audio accessory from Sony. It resembles Sony WH-1000XM5 and was likely misplaced outside the canteen during lunch break. Distinct note: with student ID sticker.
JBL Flip 6,Speaker,JBL,Blue,Portable Bluetooth speaker with waterproof body.,data/raw/images/jbl_flip_6.jpg,123,https://example.com/jbl_flip_6,lab,kept in a leather case,Lost a blue portable audio device from JBL. It resembles JBL Flip 6 and was likely misplaced in the electronics lab after class. Distinct note: kept in a leather case.
Adidas Duffel Bag,Bag,Adidas,Navy,Medium-size sports duffel with side compartments.,data/raw/images/adidas_duffel_bag.jpg,145,https://example.com/adidas_duffel_bag,classroom,has initials on it,Lost a navy carry bag from Adidas. It resembles Adidas Duffel Bag and was likely misplaced inside classroom B-204 after a lecture. Distinct note: has initials on it.
Parker Metal Pen,Pen,Parker,Silver,Refillable signature pen with smooth grip.,data/raw/images/parker_metal_pen.jpg,167,https://example.com/parker_metal_pen,bus stop,inside front pocket,Lost a silver metal writing instrument from Parker. It resembles Parker Metal Pen and was likely misplaced around the bus parking area before leaving campus. Distinct note: inside front pocket.
Samsung Galaxy Buds 2,Earbuds,Samsung,White,Compact wireless earbuds with charging case.,data/raw/images/samsung_galaxy_buds_2.jpg,189,https://example.com/samsung_galaxy_buds_2,auditorium,charger missing,Lost a white small wireless audio accessory from Samsung. It resembles Samsung Galaxy Buds 2 and was likely misplaced near the auditorium entrance during an event. Distinct note: charger missing.
